Date,AAPL
2022-01-03,177.93971252441406
2022-01-04,175.68138122558594
2022-01-05,171.0082550048828
2022-01-06,168.15359497070312
2022-01-07,168.3197784423828
2022-01-10,168.3393096923828
2022-01-11,171.16468811035156
2022-01-12,171.60459899902344
2022-01-13,168.3393096923828
2022-01-14,169.1996612548828
2022-01-18,166.00277709960938
2022-01-19,162.51260375976562
2022-01-20,160.8310546875
2022-01-21,158.77806091308594
2022-01-24,158.0056915283203
2022-01-25,156.2068634033203
2022-01-26,156.118896484375
2022-01-27,155.65939331054688
2022-01-28,166.5209197998047
2022-01-31,170.87142944335938
2022-02-01,170.70523071289062
2022-02-02,171.9076690673828
2022-02-03,169.033447265625
2022-02-04,168.7495880126953
2022-02-07,168.03497314453125
2022-02-08,171.13804626464844
2022-02-09,172.5574188232422
2022-02-10,168.48529052734375
2022-02-11,165.07875061035156
2022-02-14,165.31370544433594
2022-02-15,169.14114379882812
2022-02-16,168.90618896484375
2022-02-17,165.31370544433594
2022-02-18,163.76708984375
2022-02-22,160.8500213623047
2022-02-23,156.6897430419922
2022-02-24,159.30335998535156
2022-02-25,161.3688201904297
2022-02-28,161.63308715820312
2022-03-01,159.753662109375
2022-03-02,163.04270935058594
2022-03-03,162.7196502685547
2022-03-04,159.72427368164062
2022-03-07,155.9359893798828
2022-03-08,154.11526489257812
2022-03-09,159.50894165039062
2022-03-10,155.17247009277344
2022-03-11,151.46249389648438
2022-03-14,147.43931579589844
2022-03-15,151.81491088867188
2022-03-16,156.21987915039062
2022-03-17,157.2281494140625
2022-03-18,160.5172119140625
2022-03-21,161.88763427734375
2022-03-22,165.2549591064453
2022-03-23,166.61563110351562
2022-03-24,170.39410400390625
2022-03-25,171.03038024902344
2022-03-28,171.89178466796875
2022-03-29,175.18084716796875
2022-03-30,174.0159454345703
2022-03-31,170.92271423339844
2022-04-01,170.62899780273438
2022-04-04,174.67184448242188
2022-04-05,171.3632049560547
2022-04-06,168.20138549804688
2022-04-07,168.50485229492188
2022-04-08,166.4981689453125
2022-04-11,162.2498016357422
2022-04-12,164.1194610595703
2022-04-13,166.8015899658203
2022-04-14,161.7995147705078
2022-04-18,161.5841522216797
2022-04-19,163.8649444580078
2022-04-20,163.6985321044922
2022-04-21,162.90562438964844
2022-04-22,158.3733673095703
2022-04-25,159.44044494628906
2022-04-26,153.48878479003906
2022-04-27,153.26368713378906
2022-04-28,160.18434143066406
2022-04-29,154.32083129882812
2022-05-02,154.6243133544922
2022-05-03,156.1121826171875
2022-05-04,162.51409912109375
2022-05-05,153.45945739746094
2022-05-06,154.1848602294922
2022-05-09,149.0675811767578
2022-05-10,151.4693603515625
2022-05-11,143.61700439453125
2022-05-12,139.75454711914062
2022-05-13,144.21499633789062
2022-05-16,142.67588806152344
2022-05-17,146.3031005859375
2022-05-18,138.04881286621094
2022-05-19,134.64707946777344
2022-05-20,134.88233947753906
2022-05-23,140.29373168945312
2022-05-24,137.59783935546875
2022-05-25,137.75466918945312
2022-05-26,140.95050048828125
2022-05-27,146.69525146484375
2022-05-31,145.9109649658203
2022-06-01,145.78355407714844
2022-06-02,148.2343292236328
2022-06-03,142.51905822753906
2022-06-06,143.2641143798828
2022-06-07,145.78355407714844
2022-06-08,145.04827880859375
2022-06-09,139.83299255371094
2022-06-10,134.431396484375
2022-06-13,129.2847137451172
2022-06-14,130.1473846435547
2022-06-15,132.76483154296875
2022-06-16,127.50054931640625
2022-06-17,128.97100830078125
2022-06-21,133.1962127685547
2022-06-22,132.6864471435547
2022-06-23,135.54896545410156
2022-06-24,138.8722686767578
2022-06-27,138.8722686767578
2022-06-28,134.7353057861328
2022-06-29,136.4900665283203
2022-06-30,134.0294952392578
2022-07-01,136.19598388671875
2022-07-05,138.77423095703125
2022-07-06,140.1074676513672
2022-07-07,143.469970703125
2022-07-08,144.14637756347656
2022-07-11,142.01905822753906
2022-07-12,142.98959350585938
2022-07-13,142.62686157226562
2022-07-14,145.54823303222656
2022-07-15,147.2147979736328
2022-07-18,144.17579650878906
2022-07-19,148.02845764160156
2022-07-20,150.0283203125
2022-07-21,152.2928466796875
2022-07-22,151.0576629638672
2022-07-25,149.9400634765625
2022-07-26,148.61666870117188
2022-07-27,153.70452880859375
2022-07-28,154.2534942626953
2022-07-29,159.31195068359375
2022-08-01,158.33163452148438
2022-08-02,156.86114501953125
2022-08-03,162.86073303222656
2022-08-04,162.5469970703125
2022-08-05,162.32119750976562
2022-08-08,161.85003662109375
2022-08-09,161.89910888671875
2022-08-10,166.1399688720703
2022-08-11,165.40371704101562
2022-08-12,168.94760131835938
2022-08-15,170.01760864257812
2022-08-16,169.86053466796875
2022-08-17,171.35272216796875
2022-08-18,170.95999145507812
2022-08-19,168.37820434570312
2022-08-22,164.50059509277344
2022-08-23,164.16677856445312
2022-08-24,164.46128845214844
2022-08-25,166.91546630859375
2022-08-26,160.62290954589844
2022-08-29,158.4239501953125
2022-08-30,155.9991912841797
2022-08-31,154.34010314941406
2022-09-01,155.0665740966797
2022-09-02,152.9559783935547
2022-09-06,151.69940185546875
2022-09-07,153.1032257080078
2022-09-08,151.6306915283203
2022-09-09,154.48736572265625
2022-09-12,160.4364013671875
2022-09-13,151.02206420898438
2022-09-14,152.46514892578125
2022-09-15,149.57896423339844
2022-09-16,147.9395751953125
2022-09-19,151.65029907226562
2022-09-20,154.0260009765625
2022-09-21,150.9042510986328
2022-09-22,149.94216918945312
2022-09-23,147.67449951171875
2022-09-26,148.00830078125
2022-09-27,148.98013305664062
2022-09-28,147.09530639648438
2022-09-29,139.87013244628906
2022-09-30,135.6685333251953
2022-10-03,139.84066772460938
2022-10-04,143.42385864257812
2022-10-05,143.71832275390625
2022-10-06,142.76609802246094
2022-10-07,137.52394104003906
2022-10-10,137.84788513183594
2022-10-11,136.43423461914062
2022-10-12,135.8059844970703
2022-10-13,140.3708038330078
2022-10-14,135.84523010253906
2022-10-17,139.8014373779297
2022-10-18,141.11685180664062
2022-10-19,141.22486877441406
2022-10-20,140.76345825195312
2022-10-21,144.57241821289062
2022-10-24,146.71246337890625
2022-10-25,149.5494842529297
2022-10-26,146.61427307128906
2022-10-27,142.1476593017578
2022-10-28,152.8872528076172
2022-10-31,150.5312042236328
2022-11-01,147.89047241210938
2022-11-02,142.3734130859375
2022-11-03,136.3360595703125
2022-11-04,136.07058715820312
2022-11-07,136.60157775878906
2022-11-08,137.17190551757812
2022-11-09,132.61915588378906
2022-11-10,144.41891479492188
2022-11-11,147.20166015625
2022-11-14,145.8053741455078
2022-11-15,147.53598022460938
2022-11-16,146.30686950683594
2022-11-17,148.2046356201172
2022-11-18,148.76512145996094
2022-11-21,145.5398406982422
2022-11-22,147.67364501953125
2022-11-23,148.54884338378906
2022-11-25,145.63821411132812
2022-11-28,141.81312561035156
2022-11-29,138.81399536132812
2022-11-30,145.55953979492188
2022-12-01,145.8348846435547
2022-12-02,145.34320068359375
2022-12-05,144.1829376220703
2022-12-06,140.5249786376953
2022-12-07,138.58787536621094
2022-12-08,140.26931762695312
2022-12-09,139.7875213623047
2022-12-12,142.07864379882812
2022-12-13,143.04225158691406
2022-12-14,140.82000732421875
2022-12-15,134.2219696044922
2022-12-16,132.2651824951172
2022-12-19,130.16087341308594
2022-12-20,130.09202575683594
2022-12-21,133.18946838378906
2022-12-22,130.02322387695312
2022-12-23,129.659423828125
2022-12-27,127.85993957519531
2022-12-28,123.93653106689453
2022-12-29,127.44694519042969
2022-12-30,127.76161193847656
2023-01-03,122.98271179199219
2023-01-04,124.25119018554688
2023-01-05,122.93356323242188
2023-01-06,127.45677185058594
2023-01-09,127.9779281616211
2023-01-10,128.5482635498047
2023-01-11,131.26220703125
2023-01-12,131.1835174560547
2023-01-13,132.51097106933594
2023-01-17,133.67132568359375
2023-01-18,132.9534912109375
2023-01-19,133.01248168945312
2023-01-20,135.569091796875
2023-01-23,138.75502014160156
2023-01-24,140.15130615234375
2023-01-25,139.49249267578125
2023-01-26,141.55746459960938
2023-01-27,143.49456787109375
2023-01-30,140.61349487304688
2023-01-31,141.8819580078125
2023-02-01,143.0029296875
2023-02-02,148.30299377441406
2023-02-03,151.9215545654297
2023-02-06,149.1977996826172
2023-02-07,152.0690460205078
2023-02-08,149.3845977783203
2023-02-09,148.35214233398438
2023-02-10,148.71653747558594
2023-02-13,151.51339721679688
2023-02-14,150.8732452392578
2023-02-15,152.97091674804688
2023-02-16,151.37551879882812
2023-02-17,150.233154296875
2023-02-21,146.2249755859375
2023-02-22,146.64840698242188
2023-02-23,147.13095092773438
2023-02-24,144.4818572998047
2023-02-27,145.67347717285156
2023-02-28,145.17120361328125
2023-03-01,143.10305786132812
2023-03-02,143.69398498535156
2023-03-03,148.73622131347656
2023-03-06,151.49371337890625
2023-03-07,149.29757690429688
2023-03-08,150.54827880859375
2023-03-09,148.3029022216797
2023-03-10,146.24464416503906
2023-03-13,148.18472290039062
2023-03-14,150.2725372314453
